property_cid,data_group_cid,file_path,error_path,error_message,timestamp
bafkreifammzkemqq5xrw7kfyjtjp74gig4m3p2uv2i4qwwt4t6s2s6le4q,bafkreibzrfmqka5h7dnuz7jzilgx4ht5rqcrx3ocl23nger65frbb5hzma,/Users/samansafavi/Documents/GitHub/photo-meta-data-ai/submit-photo/bafkreifammzkemqq5xrw7kfyjtjp74gig4m3p2uv2i4qwwt4t6s2s6le4q/bafkreibzrfmqka5h7dnuz7jzilgx4ht5rqcrx3ocl23nger65frbb5hzma.json,/relationships/property_has_layout/0/to/view_type,"must be one of: Courtyard, Ocean, City, Garden, Bay, Marina, Mountain, Park, Waterfront, Street, ",2025-07-24T07:41:28.220Z
bafkreifammzkemqq5xrw7kfyjtjp74gig4m3p2uv2i4qwwt4t6s2s6le4q,bafkreibzrfmqka5h7dnuz7jzilgx4ht5rqcrx3ocl23nger65frbb5hzma,/Users/samansafavi/Documents/GitHub/photo-meta-data-ai/submit-photo/bafkreifammzkemqq5xrw7kfyjtjp74gig4m3p2uv2i4qwwt4t6s2s6le4q/bafkreibzrfmqka5h7dnuz7jzilgx4ht5rqcrx3ocl23nger65frbb5hzma.json,/relationships/property_has_layout/0/to/window_design_type,"must be one of: Skylights, Transom, Egress, Garden, Awning, DoubleHung, Jalousie, SingleHung, Sliding, Bay, Bow, Greenhouse, Picture, Casement, ",2025-07-24T07:41:28.221Z
bafkreifammzkemqq5xrw7kfyjtjp74gig4m3p2uv2i4qwwt4t6s2s6le4q,bafkreibzrfmqka5h7dnuz7jzilgx4ht5rqcrx3ocl23nger65frbb5hzma,/Users/samansafavi/Documents/GitHub/photo-meta-data-ai/submit-photo/bafkreifammzkemqq5xrw7kfyjtjp74gig4m3p2uv2i4qwwt4t6s2s6le4q/bafkreibzrfmqka5h7dnuz7jzilgx4ht5rqcrx3ocl23nger65frbb5hzma.json,/relationships/property_has_layout/0/to/window_material_type,"must be one of: Manufactured, EngineeredWood, Terazzo, Brick, Wood, CinderBlock, Concrete, Shingle, Composition, Linoleum, Stone, CeramicTile, Block, WoodSiding, ImpactGlass, Carpet, Marble, Vinyl, Tile, PouredConcrete, Metal, Glass, Laminate, ",2025-07-24T07:41:28.226Z
bafkreifammzkemqq5xrw7kfyjtjp74gig4m3p2uv2i4qwwt4t6s2s6le4q,bafkreibzrfmqka5h7dnuz7jzilgx4ht5rqcrx3ocl23nger65frbb5hzma,/Users/samansafavi/Documents/GitHub/photo-meta-data-ai/submit-photo/bafkreifammzkemqq5xrw7kfyjtjp74gig4m3p2uv2i4qwwt4t6s2s6le4q/bafkreibzrfmqka5h7dnuz7jzilgx4ht5rqcrx3ocl23nger65frbb5hzma.json,/relationships/property_has_layout/0/to/window_treatment_type,"must be one of: Blinds, Drapes, VerticalBlinds, HorizontalBlinds, Shades, PlantationShutters, CafeShutters, RollerShades, RomanShades, CellularHoneycombShades, SolarShades, PleatedShades, Curtains, BlackoutCurtains, ThermalCurtains, Valances, Cornices, WindowFilm, StainedGlass, BambooShades, WoodShades, WovenShades, ",2025-07-24T07:41:28.228Z
bafkreifammzkemqq5xrw7kfyjtjp74gig4m3p2uv2i4qwwt4t6s2s6le4q,bafkreibzrfmqka5h7dnuz7jzilgx4ht5rqcrx3ocl23nger65frbb5hzma,/Users/samansafavi/Documents/GitHub/photo-meta-data-ai/submit-photo/bafkreifammzkemqq5xrw7kfyjtjp74gig4m3p2uv2i4qwwt4t6s2s6le4q/bafkreibzrfmqka5h7dnuz7jzilgx4ht5rqcrx3ocl23nger65frbb5hzma.json,/relationships/property_has_layout/1/to/flooring_wear,"must be one of: Pristine, Moderate, Worn, Damaged, ",2025-07-24T07:41:28.229Z
bafkreifammzkemqq5xrw7kfyjtjp74gig4m3p2uv2i4qwwt4t6s2s6le4q,bafkreibzrfmqka5h7dnuz7jzilgx4ht5rqcrx3ocl23nger65frbb5hzma,/Users/samansafavi/Documents/GitHub/photo-meta-data-ai/submit-photo/bafkreifammzkemqq5xrw7kfyjtjp74gig4m3p2uv2i4qwwt4t6s2s6le4q/bafkreibzrfmqka5h7dnuz7jzilgx4ht5rqcrx3ocl23nger65frbb5hzma.json,/relationships/property_has_layout/3/to/window_treatment_type,"must be one of: Blinds, Drapes, VerticalBlinds, HorizontalBlinds, Shades, PlantationShutters, CafeShutters, RollerShades, RomanShades, CellularHoneycombShades, SolarShades, PleatedShades, Curtains, BlackoutCurtains, ThermalCurtains, Valances, Cornices, WindowFilm, StainedGlass, BambooShades, WoodShades, WovenShades, ",2025-07-24T07:41:28.229Z
bafkreifammzkemqq5xrw7kfyjtjp74gig4m3p2uv2i4qwwt4t6s2s6le4q,bafkreibzrfmqka5h7dnuz7jzilgx4ht5rqcrx3ocl23nger65frbb5hzma,/Users/samansafavi/Documents/GitHub/photo-meta-data-ai/submit-photo/bafkreifammzkemqq5xrw7kfyjtjp74gig4m3p2uv2i4qwwt4t6s2s6le4q/bafkreibzrfmqka5h7dnuz7jzilgx4ht5rqcrx3ocl23nger65frbb5hzma.json,/relationships/property_has_layout/4/to/window_treatment_type,"must be one of: Blinds, Drapes, VerticalBlinds, HorizontalBlinds, Shades, PlantationShutters, CafeShutters, RollerShades, RomanShades, CellularHoneycombShades, SolarShades, PleatedShades, Curtains, BlackoutCurtains, ThermalCurtains, Valances, Cornices, WindowFilm, StainedGlass, BambooShades, WoodShades, WovenShades, ",2025-07-24T07:41:28.229Z
bafkreifammzkemqq5xrw7kfyjtjp74gig4m3p2uv2i4qwwt4t6s2s6le4q,bafkreibzrfmqka5h7dnuz7jzilgx4ht5rqcrx3ocl23nger65frbb5hzma,/Users/samansafavi/Documents/GitHub/photo-meta-data-ai/submit-photo/bafkreifammzkemqq5xrw7kfyjtjp74gig4m3p2uv2i4qwwt4t6s2s6le4q/bafkreibzrfmqka5h7dnuz7jzilgx4ht5rqcrx3ocl23nger65frbb5hzma.json,/relationships/property_has_utility/0/to,unexpected property 'document_type',2025-07-24T07:41:28.229Z
bafkreifammzkemqq5xrw7kfyjtjp74gig4m3p2uv2i4qwwt4t6s2s6le4q,bafkreibzrfmqka5h7dnuz7jzilgx4ht5rqcrx3ocl23nger65frbb5hzma,/Users/samansafavi/Documents/GitHub/photo-meta-data-ai/submit-photo/bafkreifammzkemqq5xrw7kfyjtjp74gig4m3p2uv2i4qwwt4t6s2s6le4q/bafkreibzrfmqka5h7dnuz7jzilgx4ht5rqcrx3ocl23nger65frbb5hzma.json,/relationships/property_has_utility/0/to,unexpected property 'file_format',2025-07-24T07:41:28.229Z
bafkreifammzkemqq5xrw7kfyjtjp74gig4m3p2uv2i4qwwt4t6s2s6le4q,bafkreibzrfmqka5h7dnuz7jzilgx4ht5rqcrx3ocl23nger65frbb5hzma,/Users/samansafavi/Documents/GitHub/photo-meta-data-ai/submit-photo/bafkreifammzkemqq5xrw7kfyjtjp74gig4m3p2uv2i4qwwt4t6s2s6le4q/bafkreibzrfmqka5h7dnuz7jzilgx4ht5rqcrx3ocl23nger65frbb5hzma.json,/relationships/property_has_utility/0/to,unexpected property 'ipfs_url',2025-07-24T07:41:28.229Z
